img_size,batch_size,learning_rate,dropout_rate,epochs_ran,best_train_accuracy,best_val_accuracy,final_val_accuracy,final_test_accuracy,final_val_loss,final_test_loss,class_names
128,16,0.001,0.3,8,0.7325,0.5967,0.5472,0.5718,1.1214,1.0752,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.001,0.4,8,0.7267,0.5896,0.5495,0.5933,1.1067,1.0756,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.001,0.5,13,0.7539,0.6108,0.6061,0.6531,1.0202,1.0329,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.0005,0.3,9,0.7623,0.5967,0.5967,0.6196,1.0585,1.0022,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.0005,0.4,10,0.7747,0.6321,0.6179,0.61,1.0045,1.0461,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.0005,0.5,13,0.7776,0.6108,0.6014,0.6627,1.0353,0.956,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.0003,0.3,12,0.7736,0.6132,0.5849,0.5933,1.0642,1.0486,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.0003,0.4,9,0.725,0.592,0.5731,0.5909,1.0836,1.0472,"basketball,football,golf_ball,tennis_ball,volleyball"
128,16,0.0003,0.5,15,0.7779,0.6226,0.6226,0.6077,0.9967,0.9669,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.001,0.3,9,0.7178,0.5967,0.5802,0.6172,1.0649,0.9929,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.001,0.4,6,0.6755,0.5472,0.5307,0.5789,1.1558,1.1152,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.001,0.5,13,0.7684,0.6439,0.6439,0.5766,1.0284,1.0133,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.0005,0.3,10,0.7473,0.6038,0.6038,0.6244,1.0636,0.9608,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.0005,0.4,12,0.7429,0.625,0.6156,0.6172,1.068,1.0506,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.0005,0.5,16,0.7678,0.6061,0.6061,0.6292,1.0599,1.0197,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.0003,0.3,8,0.7056,0.6061,0.5566,0.5861,1.0966,1.0353,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.0003,0.4,15,0.7276,0.592,0.5896,0.6029,1.1132,1.0648,"basketball,football,golf_ball,tennis_ball,volleyball"
128,32,0.0003,0.5,15,0.6946,0.5849,0.5825,0.6244,1.0615,0.979,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.001,0.3,9,0.7458,0.5967,0.566,0.6029,1.0993,1.0763,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.001,0.4,8,0.7123,0.5943,0.5943,0.5957,1.0733,0.9894,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.001,0.5,16,0.8363,0.6557,0.6415,0.6364,1.02,1.0921,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.0005,0.3,12,0.8245,0.6085,0.6061,0.6531,1.083,1.0274,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.0005,0.4,10,0.7733,0.6368,0.5896,0.6411,1.0682,1.0287,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.0005,0.5,8,0.6995,0.6014,0.5425,0.5622,1.1023,1.0543,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.0003,0.3,9,0.764,0.6014,0.5731,0.5933,1.058,1.0267,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.0003,0.4,10,0.7441,0.6108,0.5873,0.6148,1.0368,0.9931,"basketball,football,golf_ball,tennis_ball,volleyball"
160,16,0.0003,0.5,16,0.8013,0.6344,0.6297,0.6579,1.0374,1.0126,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.001,0.3,12,0.8158,0.6203,0.5873,0.6316,1.0361,1.0041,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.001,0.4,12,0.7574,0.6108,0.5731,0.5957,1.0743,1.0858,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.001,0.5,10,0.7175,0.5896,0.5684,0.6029,1.0889,1.0447,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.0005,0.3,8,0.7432,0.5991,0.5684,0.6316,1.0733,1.0142,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.0005,0.4,9,0.6883,0.5684,0.5495,0.6029,1.0997,1.052,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.0005,0.5,14,0.7418,0.6179,0.592,0.6148,1.0407,1.0094,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.0003,0.3,12,0.7562,0.592,0.592,0.6124,1.1102,1.0582,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.0003,0.4,11,0.6747,0.5825,0.5802,0.6268,1.0687,1.0239,"basketball,football,golf_ball,tennis_ball,volleyball"
160,32,0.0003,0.5,15,0.734,0.5943,0.5943,0.6005,1.0527,0.9996,"basketball,football,golf_ball,tennis_ball,volleyball"
